City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Oslo,Norway,Oslo County,2022-01-31T08:00:20.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.199.0
Kongsberg,Norway,Viken,2022-01-31T07:51:40.000+0100,3,true,false,false,false,59.66040,9.65220,,,81.167.77.107
Baerums verk,Norway,Viken,2022-01-31T07:51:14.000+0100,1,true,false,false,false,59.94540,10.51110,,,109.189.56.151
Oslo,Norway,Oslo County,2022-01-31T07:49:06.000+0100,81,true,false,false,false,59.95500,10.85900,,,80.203.120.67
Oslo,Norway,Oslo County,2022-01-31T07:48:54.000+0100,13,true,false,false,false,59.95500,10.85900,,,77.16.48.139
,Norway,,2022-01-31T07:48:23.000+0100,1,true,false,true,false,59.94520,10.75590,,,77.18.62.167
Rykkin,Norway,Viken,2022-01-31T07:46:01.000+0100,2,true,false,false,false,59.93190,10.48140,,,158.248.67.91
Baerums verk,Norway,Viken,2022-01-31T07:45:41.000+0100,1,true,false,false,false,59.94540,10.51110,,,81.166.198.77
Oslo,Norway,Oslo County,2022-01-31T07:45:22.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.193.77
Nesbru,Norway,Viken,2022-01-31T07:45:03.000+0100,4,true,false,false,false,59.85640,10.49660,,,85.165.114.174
Gjettum,Norway,Viken,2022-01-31T07:44:50.000+0100,1,true,false,false,false,59.90820,10.52160,,,46.9.85.176
Oslo,Norway,Oslo County,2022-01-31T07:43:37.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.194.111
Lillestrøm,Norway,Viken,2022-01-31T07:41:56.000+0100,9,true,false,false,false,59.95000,11.09980,,,51.175.93.36
Rykkin,Norway,Viken,2022-01-31T07:41:51.000+0100,4,true,false,false,false,59.92810,10.49650,,,109.189.109.40
Sandvika,Norway,Viken,2022-01-31T07:41:47.000+0100,149,true,false,false,false,59.89660,10.49790,,,193.161.34.5
Gjettum,Norway,Viken,2022-01-31T07:41:11.000+0100,3,true,false,false,false,59.90820,10.52160,,,46.9.82.38
Gjettum,Norway,Viken,2022-01-31T07:39:53.000+0100,1,true,false,false,false,59.90820,10.52160,,,88.95.78.120
Oslo,Norway,Oslo County,2022-01-31T07:39:37.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.208.37
Steigen,Norway,Nordland,2022-01-31T07:39:34.000+0100,13,true,false,false,false,67.90060,15.22240,,,78.26.9.180
Oslo,Norway,Oslo County,2022-01-31T07:38:50.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.201.102
Oslo,Norway,Oslo County,2022-01-31T07:38:06.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.15.4.237
Oslo,Norway,Oslo County,2022-01-31T07:37:56.000+0100,1,true,false,false,false,59.95500,10.85900,,,80.212.99.122
Oslo,Norway,Oslo County,2022-01-31T07:37:06.000+0100,3,true,false,false,false,59.95500,10.85900,,,84.211.26.189
Bergen,Norway,Vestland,2022-01-31T07:35:12.000+0100,1,true,false,false,false,60.49440,5.27410,,,46.15.16.24
Oslo,Norway,Oslo County,2022-01-31T07:34:15.000+0100,4,true,false,false,false,59.95500,10.85900,,,77.16.63.222
Jar,Norway,Viken,2022-01-31T07:33:18.000+0100,1,true,false,false,false,59.92720,10.62560,,,62.16.243.11
Oslo,Norway,Oslo County,2022-01-31T07:31:21.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.211.85.48
Jar,Norway,Viken,2022-01-31T07:28:42.000+0100,20,true,false,false,false,59.92720,10.62560,,,212.251.180.89
Oslo,Norway,Oslo County,2022-01-31T07:27:25.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.160.43
Osteras,Norway,Viken,2022-01-31T07:25:22.000+0100,2,true,false,false,false,59.95030,10.60530,,,84.202.104.127
Oslo,Norway,Oslo County,2022-01-31T07:24:48.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.192.253
Asker,Norway,Viken,2022-01-31T07:21:13.000+0100,7,true,false,false,false,59.82280,10.43290,,,84.213.241.107
Spikkestad,Norway,Viken,2022-01-31T07:20:44.000+0100,1,true,false,false,false,59.73860,10.34660,,,85.165.137.146
Oslo,Norway,Oslo County,2022-01-31T07:20:41.000+0100,3,true,false,false,false,59.95500,10.85900,,,46.15.9.75
Hasle,Norway,Viken,2022-01-31T07:19:51.000+0100,8,true,false,false,false,59.93350,10.58370,,,37.200.29.180
Oslo,Norway,Oslo County,2022-01-31T07:19:50.000+0100,20,true,false,false,false,59.95500,10.85900,,,158.248.72.58
Oslo,Norway,Oslo County,2022-01-31T07:16:57.000+0100,25,true,false,false,false,59.95500,10.85900,,,81.191.171.155
Oslo,Norway,Oslo County,2022-01-31T07:14:16.000+0100,4,true,false,false,false,59.95500,10.85900,,,88.89.137.199
Oslo,Norway,Oslo County,2022-01-31T07:13:58.000+0100,12,true,false,false,false,59.95500,10.85900,,,84.212.76.126
Oslo,Norway,Oslo County,2022-01-31T07:12:55.000+0100,83,true,false,false,false,59.95500,10.85900,,,81.166.230.137
Oslo,Norway,Oslo County,2022-01-31T07:12:41.000+0100,5,true,false,false,false,59.95500,10.85900,,,84.213.50.75
Oslo,Norway,Oslo County,2022-01-31T07:07:47.000+0100,6,true,false,false,false,59.95500,10.85900,,,84.212.137.236
Oslo,Norway,Oslo County,2022-01-31T07:07:07.000+0100,2,true,false,false,false,59.92080,10.58400,,,84.202.112.197
Oslo,Norway,Oslo County,2022-01-31T07:06:40.000+0100,21,true,false,false,false,59.95500,10.85900,,,84.212.84.130
Oslo,Norway,Oslo County,2022-01-31T07:02:18.000+0100,3,true,false,false,false,59.95500,10.85900,,,84.208.178.8
Rykkin,Norway,Viken,2022-01-31T07:00:40.000+0100,1,true,false,false,false,59.92810,10.49650,,,85.167.18.199
Oslo,Norway,Oslo County,2022-01-31T06:50:18.000+0100,2,true,false,false,false,59.95500,10.85900,,,84.209.4.150
Oslo,Norway,Oslo County,2022-01-31T06:46:40.000+0100,6,true,false,false,false,59.95500,10.85900,,,193.214.66.218
Oslo,Norway,Oslo County,2022-01-31T06:43:59.000+0100,7,true,false,false,false,59.95500,10.85900,,,80.203.124.7
Oslo,Norway,Oslo County,2022-01-31T06:42:16.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.49.214.137
